Text,Level,Tokens
evaluate two internet sources each of information mainly about the native egyptians. understand which would be a better choice for understanding your purpose then and for why?,Evaluate,"['evaluate', 'two', 'internet', 'sources', 'each', 'of', 'information', 'mainly', 'about', 'the', 'native', 'egyptians', '.', 'understand', 'which', 'would', 'be', 'a', 'better', 'choice', 'for', 'understanding', 'your', 'purpose', 'then', 'and', 'for', 'why', '?']"
to compare and contrast of our school to other ethnic communities.,Analyze,"['to', 'compare', 'and', 'contrast', 'of', 'our', 'school', 'to', 'other', 'ethnic', 'communities', '.']"
"in your utterly own own words, tell what is meant by repeating the correct definition of an arbitrary isosceles normal triangle.",Understand,"['in', 'your', 'utterly', 'own', 'own', 'words', ',', 'tell', 'what', 'is', 'meant', 'by', 'repeating', 'the', 'correct', 'definition', 'of', 'an', 'arbitrary', 'isosceles', 'normal', 'triangle', '.']"
can you now state in person your own private words please what the federal problem is asking you to do,Understand,"['can', 'you', 'now', 'state', 'in', 'person', 'your', 'own', 'private', 'words', 'please', 'what', 'the', 'federal', 'problem', 'is', 'asking', 'you', 'to', 'do']"
how remote could someone else modify whatever the cornell method computer to make it effective for researching a particular topic used for a paper?,Apply,"['how', 'remote', 'could', 'someone', 'else', 'modify', 'whatever', 'the', 'cornell', 'method', 'computer', 'to', 'make', 'it', 'effective', 'for', 'researching', 'a', 'particular', 'topic', 'used', 'for', 'a', 'paper', '?']"
prepare to a book jacket that illustrates well the full kind of book jacket as as well as the story.,Create,"['prepare', 'to', 'a', 'book', 'jacket', 'that', 'illustrates', 'well', 'the', 'full', 'kind', 'of', 'book', 'jacket', 'as', 'as', 'well', 'as', 'the', 'story', '.']"
compose an intensely original structural work which frequently incorporates five common structural materials in sculpture.,Create,"['compose', 'an', 'intensely', 'original', 'structural', 'work', 'which', 'frequently', 'incorporates', 'five', 'common', 'structural', 'materials', 'in', 'sculpture', '.']"
was ernest hemingway a great great other american thriller writer? first you will only need to define greatness.,Evaluate,"['was', 'ernest', 'hemingway', 'a', 'great', 'great', 'other', 'american', 'thriller', 'writer', '?', 'first', 'you', 'will', 'only', 'need', 'to', 'define', 'greatness', '.']"
authors list the characteristics peculiar themselves to the cubist architectural movement.,Remember,"['authors', 'list', 'the', 'characteristics', 'peculiar', 'themselves', 'to', 'the', 'cubist', 'architectural', 'movement', '.']"
how exactly would you you investigate this supernatural abnormality,Analyze,"['how', 'exactly', 'would', 'you', 'you', 'investigate', 'this', 'supernatural', 'abnormality']"
create always a happy new product. just give down it all a name and plan a marketing campaign.,Create,"['create', 'always', 'a', 'happy', 'new', 'product', '.', 'just', 'give', 'down', 'it', 'all', 'a', 'name', 'and', 'plan', 'a', 'marketing', 'campaign', '.']"
can you please differentiate it between ethnic chinese and minority ethnic koreans,Analyze,"['can', 'you', 'please', 'differentiate', 'it', 'between', 'ethnic', 'chinese', 'and', 'minority', 'ethnic', 'koreans']"
or make sure a preliminary diagnosis or analyze a case study.,Analyze,"['or', 'make', 'sure', 'a', 'preliminary', 'diagnosis', 'or', 'analyze', 'a', 'case', 'study', '.']"
how does your agency inspect claims against its expectation rights for business operators,Analyze,"['how', 'does', 'your', 'agency', 'inspect', 'claims', 'against', 'its', 'expectation', 'rights', 'for', 'business', 'operators']"
revises analysis and process data to improve understanding the outcome.,Create,"['revises', 'analysis', 'and', 'process', 'data', 'to', 'improve', 'understanding', 'the', 'outcome', '.']"
how would you differentiate just a particular project from a related program,Analyze,"['how', 'would', 'you', 'differentiate', 'just', 'a', 'particular', 'project', 'from', 'a', 'related', 'program']"
write a humorous short story generally relating a personal fictional experience done in the style mainly of a british picaresque novel.,Create,"['write', 'a', 'humorous', 'short', 'story', 'generally', 'relating', 'a', 'personal', 'fictional', 'experience', 'done', 'in', 'the', 'style', 'mainly', 'of', 'a', 'british', 'picaresque', 'novel', '.']"
recite the principles section of the data safety protection automation act.,Remember,"['recite', 'the', 'principles', 'section', 'of', 'the', 'data', 'safety', 'protection', 'automation', 'act', '.']"
how would this story actually be different and if indeed it had had happened in a different different country?,Analyze,"['how', 'would', 'this', 'story', 'actually', 'be', 'different', 'and', 'if', 'indeed', 'it', 'had', 'had', 'happened', 'in', 'a', 'different', 'different', 'country', '?']"
outline the twenty most known important insight points of the tale.,Understand,"['outline', 'the', 'twenty', 'most', 'known', 'important', 'insight', 'points', 'of', 'the', 'tale', '.']"
its design and engineering make an animal dance that moves.,Create,"['its', 'design', 'and', 'engineering', 'make', 'an', 'animal', 'dance', 'that', 'moves', '.']"
classify all frogs and toads and various other amphibians.,Understand,"['classify', 'all', 'frogs', 'and', 'toads', 'and', 'various', 'other', 'amphibians', '.']"
can you please write a nice new recipe down for a really tasty dish?,Create,"['can', 'you', 'please', 'write', 'a', 'nice', 'new', 'recipe', 'down', 'for', 'a', 'really', 'tasty', 'dish', '?']"
they break them down the main negative actions of the story.,Analyze,"['they', 'break', 'them', 'down', 'the', 'main', 'negative', 'actions', 'of', 'the', 'story', '.']"
construct a poster product that will advertise your upcoming new food aid product in quite an exciting and often irresistible dynamic way.,Evaluate,"['construct', 'a', 'poster', 'product', 'that', 'will', 'advertise', 'your', 'upcoming', 'new', 'food', 'aid', 'product', 'in', 'quite', 'an', 'exciting', 'and', 'often', 'irresistible', 'dynamic', 'way', '.']"
examine the data in between the municipal employees and district departments tables,Analyze,"['examine', 'the', 'data', 'in', 'between', 'the', 'municipal', 'employees', 'and', 'district', 'departments', 'tables']"
how to best construct with the optimal maintenance capability problem,Apply,"['how', 'to', 'best', 'construct', 'with', 'the', 'optimal', 'maintenance', 'capability', 'problem']"
sketch makes a graph out of velocity versus time for the proper upward axis and or downward parts of handling a ball's flight,Apply,"['sketch', 'makes', 'a', 'graph', 'out', 'of', 'velocity', 'versus', 'time', 'for', 'the', 'proper', 'upward', 'axis', 'and', 'or', 'downward', 'parts', 'of', 'handling', 'a', 'ball', ""'s"", 'flight']"
designers contrast the building in the specific coastal zone with a building in a particular river floodplain.,Analyze,"['designers', 'contrast', 'the', 'building', 'in', 'the', 'specific', 'coastal', 'zone', 'with', 'a', 'building', 'in', 'a', 'particular', 'river', 'floodplain', '.']"
compare true historical events to contemporary work situations,Understand,"['compare', 'true', 'historical', 'events', 'to', 'contemporary', 'work', 'situations']"
what is making a strange global variable?,Remember,"['what', 'is', 'making', 'a', 'strange', 'global', 'variable', '?']"
which of the above two phase liquids that is hypotonic,Remember,"['which', 'of', 'the', 'above', 'two', 'phase', 'liquids', 'that', 'is', 'hypotonic']"
outline the mechanisms employed exist by several bacteria allowing them collectively to successfully evade phagocytic protein destruction.,Understand,"['outline', 'the', 'mechanisms', 'employed', 'exist', 'by', 'several', 'bacteria', 'allowing', 'them', 'collectively', 'to', 'successfully', 'evade', 'phagocytic', 'protein', 'destruction', '.']"
"recite the same poem "" an auto plane wreck "".",Remember,"['recite', 'the', 'same', 'poem', '``', 'an', 'auto', 'plane', 'wreck', '``', '.']"
use it the distance travelled and cost of petrol to further calculate on the cost advantage of a full coach trip if using basically a spreadsheet.,Apply,"['use', 'it', 'the', 'distance', 'travelled', 'and', 'cost', 'of', 'petrol', 'to', 'further', 'calculate', 'on', 'the', 'cost', 'advantage', 'of', 'a', 'full', 'coach', 'trip', 'if', 'using', 'basically', 'a', 'spreadsheet', '.']"
bob show the value of x displayed after running this program image fragment,Apply,"['bob', 'show', 'the', 'value', 'of', 'x', 'displayed', 'after', 'running', 'this', 'program', 'image', 'fragment']"
state also how to find both a word entry in a dictionary,Remember,"['state', 'also', 'how', 'to', 'find', 'both', 'a', 'word', 'entry', 'in', 'a', 'dictionary']"
recall only basic math and facts,Remember,"['recall', 'only', 'basic', 'math', 'and', 'facts']"
you define compound like interest.,Remember,"['you', 'define', 'compound', 'like', 'interest', '.']"
revise and process to all improve and the achieved outcome.,Create,"['revise', 'and', 'process', 'to', 'all', 'improve', 'and', 'the', 'achieved', 'outcome', '.']"
"develop perhaps a better way to teach persons the new concept of "" adjectives "".",Create,"['develop', 'perhaps', 'a', 'better', 'way', 'to', 'teach', 'persons', 'the', 'new', 'concept', 'of', '``', 'adjectives', '``', '.']"
to list all four types of clauses mentioned earlier in the article,Remember,"['to', 'list', 'all', 'four', 'types', 'of', 'clauses', 'mentioned', 'earlier', 'in', 'the', 'article']"
predict whether private phillip stone will ever go back inside to visit out the cay crew after almost several years of recovery. assuming he really gets his sight powers back.,Evaluate,"['predict', 'whether', 'private', 'phillip', 'stone', 'will', 'ever', 'go', 'back', 'inside', 'to', 'visit', 'out', 'the', 'cay', 'crew', 'after', 'almost', 'several', 'years', 'of', 'recovery', '.', 'assuming', 'he', 'really', 'gets', 'his', 'sight', 'powers', 'back', '.']"
"given to the remaining two problem solutions according to the stated model programming problem, rate the program solutions in terms both of efficiency and readability.",Evaluate,"['given', 'to', 'the', 'remaining', 'two', 'problem', 'solutions', 'according', 'to', 'the', 'stated', 'model', 'programming', 'problem', ',', 'rate', 'the', 'program', 'solutions', 'in', 'terms', 'both', 'of', 'efficiency', 'and', 'readability', '.']"
establish criteria needed for making this choice today and defend your historic final job selection.,Evaluate,"['establish', 'criteria', 'needed', 'for', 'making', 'this', 'choice', 'today', 'and', 'defend', 'your', 'historic', 'final', 'job', 'selection', '.']"
combine any two olympic sports allowed to finally develop a new olympic group sport.,Create,"['combine', 'any', 'two', 'olympic', 'sports', 'allowed', 'to', 'finally', 'develop', 'a', 'new', 'olympic', 'group', 'sport', '.']"
select first the best proposal for managing a proposed water water resources treatment plant.,Evaluate,"['select', 'first', 'the', 'best', 'proposal', 'for', 'managing', 'a', 'proposed', 'water', 'water', 'resources', 'treatment', 'plant', '.']"
sketch on the blackbody energy curves for heat radiation emitted from neither the sun and the nearby earth,Apply,"['sketch', 'on', 'the', 'blackbody', 'energy', 'curves', 'for', 'heat', 'radiation', 'emitted', 'from', 'neither', 'the', 'sun', 'and', 'the', 'nearby', 'earth']"
"in a randomly given selected clinical tested situation, select only the second most reasonable research intervention and first predict the main effects and possible side effects.",Evaluate,"['in', 'a', 'randomly', 'given', 'selected', 'clinical', 'tested', 'situation', ',', 'select', 'only', 'the', 'second', 'most', 'reasonable', 'research', 'intervention', 'and', 'first', 'predict', 'the', 'main', 'effects', 'and', 'possible', 'side', 'effects', '.']"
all discuss the nature of national socialism.,Understand,"['all', 'discuss', 'the', 'nature', 'of', 'national', 'socialism', '.']"
when was on the un being formed,Remember,"['when', 'was', 'on', 'the', 'un', 'being', 'formed']"
in what ways do solitary female offenders may differ from single male offenders,Analyze,"['in', 'what', 'ways', 'do', 'solitary', 'female', 'offenders', 'may', 'differ', 'from', 'single', 'male', 'offenders']"
"a show, play through role - play, and the main final scene in the complete novel.",Apply,"['a', 'show', ',', 'play', 'through', 'role', '-', 'play', ',', 'and', 'the', 'main', 'final', 'scene', 'in', 'the', 'complete', 'novel', '.']"
who else is considered the founder of the kingdom of new saudi arabia,Remember,"['who', 'else', 'is', 'considered', 'the', 'founder', 'of', 'the', 'kingdom', 'of', 'new', 'saudi', 'arabia']"
we summarize the other main point of using these second two texts in creating your own words,Understand,"['we', 'summarize', 'the', 'other', 'main', 'point', 'of', 'using', 'these', 'second', 'two', 'texts', 'in', 'creating', 'your', 'own', 'words']"
they identify a phrase as bearing a certain simile,Remember,"['they', 'identify', 'a', 'phrase', 'as', 'bearing', 'a', 'certain', 'simile']"
vector express are the following information systems in matrix form,Understand,"['vector', 'express', 'are', 'the', 'following', 'information', 'systems', 'in', 'matrix', 'form']"
identify most the five subsequent major christian prophets of the old testament.,Remember,"['identify', 'most', 'the', 'five', 'subsequent', 'major', 'christian', 'prophets', 'of', 'the', 'old', 'testament', '.']"
and integrate effective training from several sources to further solve a problem.,Create,"['and', 'integrate', 'effective', 'training', 'from', 'several', 'sources', 'to', 'further', 'solve', 'a', 'problem', '.']"
so which of the following is also the easiest method for determining the critical volume of such a cylinder?,Remember,"['so', 'which', 'of', 'the', 'following', 'is', 'also', 'the', 'easiest', 'method', 'for', 'determining', 'the', 'critical', 'volume', 'of', 'such', 'a', 'cylinder', '?']"
