Text,Level,Tokens
"given the data available on a research question, take a position and defend it.",Evaluate,"['given', 'the', 'data', 'available', 'on', 'a', 'research', 'question', ',', 'take', 'a', 'position', 'and', 'defend', 'it', '.']"
appraise the speech's effectiveness based upon the class' criteria.,Evaluate,"['appraise', 'the', 'speech', ""'s"", 'effectiveness', 'based', 'upon', 'the', 'class', ""'"", 'criteria', '.']"
"combine elements of drama, music, and dance into a stage presentation.",Create,"['combine', 'elements', 'of', 'drama', ',', 'music', ',', 'and', 'dance', 'into', 'a', 'stage', 'presentation', '.']"
"improved, reformed or rejected?",Evaluate,"['improved', ',', 'reformed', 'or', 'rejected', '?']"
apply shading to produce depth in drawing.,Apply,"['apply', 'shading', 'to', 'produce', 'depth', 'in', 'drawing', '.']"
identify fractions from a pictorial representation,Remember,"['identify', 'fractions', 'from', 'a', 'pictorial', 'representation']"
choose and illustrate the two most important events in the story.,Evaluate,"['choose', 'and', 'illustrate', 'the', 'two', 'most', 'important', 'events', 'in', 'the', 'story', '.']"
how could we determine the number of pennies in a jar without counting them?,Create,"['how', 'could', 'we', 'determine', 'the', 'number', 'of', 'pennies', 'in', 'a', 'jar', 'without', 'counting', 'them', '?']"
state the definition of application in bloom's taxonomy.,Remember,"['state', 'the', 'definition', 'of', 'application', 'in', 'bloom', ""'s"", 'taxonomy', '.']"
"rewrite the sentence in your head, following the direction given below",Understand,"['rewrite', 'the', 'sentence', 'in', 'your', 'head', ',', 'following', 'the', 'direction', 'given', 'below']"
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analyze,"['analyze', 'the', 'positive', 'and', 'negative', 'points', 'presented', 'concerning', 'the', 'abolition', 'of', 'guns', 'and', 'write', 'a', 'brief', '(', '2-3page', ')', 'narrative', 'of', 'your', 'analysis', '.']"
distinguish between micro and macro economics.,Analyze,"['distinguish', 'between', 'micro', 'and', 'macro', 'economics', '.']"
about what proportion of the population of the us is living on farms?,Remember,"['about', 'what', 'proportion', 'of', 'the', 'population', 'of', 'the', 'us', 'is', 'living', 'on', 'farms', '?']"
design a poster for this book.,Create,"['design', 'a', 'poster', 'for', 'this', 'book', '.']"
"if notes are available on the professor's website, how should those notes be used?",Apply,"['if', 'notes', 'are', 'available', 'on', 'the', 'professor', ""'s"", 'website', ',', 'how', 'should', 'those', 'notes', 'be', 'used', '?']"
apply laws of statistics to evaluate the reliability of a written test.,Apply,"['apply', 'laws', 'of', 'statistics', 'to', 'evaluate', 'the', 'reliability', 'of', 'a', 'written', 'test', '.']"
paraphrase what hamlet is saying in his soliloquy.,Understand,"['paraphrase', 'what', 'hamlet', 'is', 'saying', 'in', 'his', 'soliloquy', '.']"
decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluate,"['decide', 'about', 'the', 'most', 'exciting', 'part', 'of', 'the', 'book', '.', 'being', 'sure', 'to', 'give', 'at', 'least', 'three', 'reasons', 'why', '?']"
how effective are . . .?,Evaluate,"['how', 'effective', 'are', '.', '.', '.', '?']"
what do you think are the strengths of using integrated math in your program?,Evaluate,"['what', 'do', 'you', 'think', 'are', 'the', 'strengths', 'of', 'using', 'integrated', 'math', 'in', 'your', 'program', '?']"
how many loop statement available in c++?,Remember,"['how', 'many', 'loop', 'statement', 'available', 'in', 'c++', '?']"
compose a class story.,Create,"['compose', 'a', 'class', 'story', '.']"
sketch a typical absorption process in a packed column with regeneration in form of,Apply,"['sketch', 'a', 'typical', 'absorption', 'process', 'in', 'a', 'packed', 'column', 'with', 'regeneration', 'in', 'form', 'of']"
how did chinese newspapers differ from us,Analyze,"['how', 'did', 'chinese', 'newspapers', 'differ', 'from', 'us']"
how to construct simple solutions when problems are complex?,Apply,"['how', 'to', 'construct', 'simple', 'solutions', 'when', 'problems', 'are', 'complex', '?']"
what is the most important...?,Evaluate,"['what', 'is', 'the', 'most', 'important', '...', '?']"
design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluate,"['design', 'a', 'healthy', 'menu', 'that', 'you', 'think', 'most', 'people', 'would', 'enjoy', 'using', 'the', 'healthy', 'eating', 'guide', '.']"
name the artist who painted the mona lisa.,Remember,"['name', 'the', 'artist', 'who', 'painted', 'the', 'mona', 'lisa', '.']"
describe an experiment to answer the question of the effects of weight on the fall of an object.,Apply,"['describe', 'an', 'experiment', 'to', 'answer', 'the', 'question', 'of', 'the', 'effects', 'of', 'weight', 'on', 'the', 'fall', 'of', 'an', 'object', '.']"
translate an equation into a spreadsheet formula.,Understand,"['translate', 'an', 'equation', 'into', 'a', 'spreadsheet', 'formula', '.']"
determine if a character's actions were heroic,Evaluate,"['determine', 'if', 'a', 'character', ""'s"", 'actions', 'were', 'heroic']"
can you distinguish between . . .?,Analyze,"['can', 'you', 'distinguish', 'between', '.', '.', '.', '?']"
discuss the nature of socialism.,Understand,"['discuss', 'the', 'nature', 'of', 'socialism', '.']"
use laplace to solve the following problems,Apply,"['use', 'laplace', 'to', 'solve', 'the', 'following', 'problems']"
describe the pareto principle in statistical software quality assurance.,Understand,"['describe', 'the', 'pareto', 'principle', 'in', 'statistical', 'software', 'quality', 'assurance', '.']"
"how do we construct agents that can deliver. ""good"" assistance",Apply,"['how', 'do', 'we', 'construct', 'agents', 'that', 'can', 'deliver', '.', '``', 'good', ""''"", 'assistance']"
state the characteristics of each type of corrosion testing studied,Remember,"['state', 'the', 'characteristics', 'of', 'each', 'type', 'of', 'corrosion', 'testing', 'studied']"
